Index,Magnitude
0,1.02396e+07
1,39.7423
2,17.5595
3,4.82029
4,12.3654
5,4.81335
6,5.59344
7,6.98914
8,3.95035
9,7.53319
10,2.82632
11,6.64269
12,10.2675
13,5.64987
14,13.849
15,13.9535
16,10.8581
17,5.95385
18,1.93712
19,5.58384
20,5.24892
21,3.92589
22,9.2192
23,1.63891
24,2.17878
25,9.12753
26,4.39477
27,9.62248
28,3.9493
29,2.19063
30,7.03198
31,14.2349
32,7.12762
33,14.8312
34,3.95477
35,3.55461
36,4.8764
37,10.959
38,10.5774
39,2.79733
40,11.6247
41,3.76352
42,0.998157
43,1.25635
44,10.0579
45,9.97125
46,10.7914
47,3.85402
48,9.60614
49,8.39697
50,2.80014
51,17.2328
52,9.321
53,10.3242
54,9.81921
55,12.9919
56,3.51589
57,13.6621
58,2.34471
59,7.24369
60,9.93155
61,3.06937
62,3.70345
63,6.27238
64,9.95709
65,14.595
66,2.33506
67,3.15337
68,8.80756
69,0.534163
70,10.0091
71,2.7872
72,3.9478
73,12.3794
74,4.45801
75,9.29824
76,8.61551
77,3.92209
78,4.88047
79,7.50216
80,23.9808
81,18.0673
82,9.40877
83,9.60543
84,19.1166
85,7.16718
86,9.53085
87,13.9796
88,8.47052
89,1.58259
90,4.53482
91,2.68751
92,8.93303
93,4.99613
94,10.4153
95,6.75064
96,1.34976
97,7.20532
98,9.18515
99,4.8727
100,4.00375
101,6.04568
102,1.19873
103,6.69986
104,4.79631
105,2.56051
106,6.47319
107,6.03912
108,5.3615
109,8.2331
110,8.52307
111,1.74691
112,12.3124
113,4.90538
114,11.1214
115,19.3651
116,4.38048
117,21.3794
118,16.19
119,27.8237
120,15.2265
121,25.9767
122,12.5003
123,42.4518
124,39.5392
125,19.8581
126,9.26365
127,19.2341
128,5.11996e+06
129,48.8751
130,25.7675
131,18.19
132,30.2686
133,7.17353
134,22.3967
135,13.3496
136,5.57526
137,9.7443
138,2.78834
139,12.9931
140,11.7104
141,10.642
142,13.0353
143,6.05496
144,5.12635
145,7.07361
146,5.7717
147,13.3628
148,3.10718
149,4.7572
150,9.42801
151,9.58512
152,13.7024
153,8.94138
154,11.8879
155,6.03987
156,11.3557
157,2.22618
158,15.5785
159,5.00521
160,6.10593
161,13.0392
162,12.5507
163,6.33581
164,4.48056
165,0.204683
166,17.0564
167,18.9787
168,10.7622
169,10.8945
170,8.51015
171,7.92393
172,18.9043
173,22.0353
174,10.3673
175,17.0157
176,20.0151
177,7.39841
178,0.633645
179,5.27591
180,1.7537
181,8.89279
182,4.2904
183,16.3951
184,7.59172
185,5.63408
186,2.06836
187,5.59024
188,8.91375
189,4.793
190,5.11718
191,3.60269
192,7.91451
193,10.5526
194,3.57759
195,4.65494
196,9.96801
197,9.57832
198,9.20984
199,6.29064
200,4.25089
201,11.6625
202,7.20812
203,4.08865
204,10.4685
205,6.75745
206,5.98017
207,19.0704
208,7.32115
209,2.18849
210,10.0242
211,11.1145
212,5.81835
213,11.5521
214,8.12189
215,17.6757
216,22.7955
217,11.9186
218,12.9892
219,8.93854
220,10.5495
221,4.44233
222,23.2352
223,0.65165
224,7.78736
225,10.7495
226,14.1682
227,9.17014
228,9.07414
229,8.55565
230,7.8202
231,5.63606
